Co,County Name,District,District Name,ce2019-20,p2024-25
95,Winnebago,3420,Lake Mills,573.5,491.7
96,Winneshiek,1638,Decorah Community,1607.2,1529.6
96,Winneshiek,6100,South Winneshiek,523.7,561.2
96,Winneshiek,6509,Turkey Valley,357.1,373.5
97,Woodbury,1975,River Valley,388.0,300.0
97,Woodbury,3555,Lawton-Bronson,610.1,644.6
97,Woodbury,5877,Sergeant Bluff-Luton,1422.7,1362.7
97,Woodbury,6039,Sioux City,15016.9,15038.8
97,Woodbury,6992,Westwood,551.8,551.3
97,Woodbury,7098,Woodbury Central,557.1,562.2
98,Worth,4772,Central Springs,791.2,779.7
98,Worth,4788,Northwood-Kensett,508.8,525.4
99,Wright,594,Belmond-Klemme,774.9,692.3
99,Wright,1206,Clarion-Goldfield-Dows,973.4,970.6
99,Wright,1944,Eagle Grove,959.2,1137.3
,,,,,
