LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
ATL,"Wednesday, December 1, 2021",7:14 PM,DL5334,Atlanta (ATL),Delta Connection,CRJ9 (N936XJ),Landed 6:52 PM
SDF,"Wednesday, December 1, 2021",7:48 PM,5X9654,Louisville (SDF),UPS,B763 (N348UP),Landed 7:45 PM
DBQ,"Wednesday, December 1, 2021",7:59 PM,,Dubuque (DBQ),Frontier,C172 (N740D),Landed 8:07 PM
DEN,"Wednesday, December 1, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N472UA),Landed 7:55 PM
LGA,"Wednesday, December 1, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N479PX),Landed 7:50 PM
MSP,"Wednesday, December 1, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N367CA),Landed 8:11 PM
SRQ,"Wednesday, December 1, 2021",9:09 PM,,Sarasota (SRQ),Frontier,P180 (N189LW),Landed 9:12 PM
ORD,"Wednesday, December 1, 2021",9:18 PM,UA1945,Chicago (ORD),United Airlines,B739 (N38424),Landed 8:56 PM
DCA,"Wednesday, December 1, 2021",9:51 PM,AA4770,Washington (DCA),American Eagle,E75S (N111HQ),Landed 9:31 PM
DTW,"Wednesday, December 1, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N655CA),Landed 9:26 PM
STL,"Wednesday, December 1, 2021",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8515X),Landed 9:49 PM
ORD,"Wednesday, December 1, 2021",10:08 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N724EV),Landed 9:44 PM
IAH,"Wednesday, December 1, 2021",10:22 PM,UA6125,Houston (IAH),United Express,E75L (N85373),Landed 9:58 PM
ATL,"Wednesday, December 1, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N928AT),Landed 10:20 PM
MIA,"Wednesday, December 1, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N264NN),Landed 10:37 PM
DFW,"Wednesday, December 1, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N838AW),Landed 11:54 PM
PHX,"Wednesday, December 1, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N664AW),Landed 11:40 PM
CLT,"Wednesday, December 1, 2021",11:57 PM,AA825,Charlotte (CLT),American Airlines,A319 (N750UW),Landed 11:32 PM
MSP,"Wednesday, December 1, 2021",11:58 PM,GAJ841,Minneapolis (MSP),Wheels Up,B350 (N841UP),Landed 12:33 AM
AFW,"Thursday, December 2, 2021",2:05 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 1:53 AM
CID,"Thursday, December 2, 2021",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N326UP),Landed 6:11 AM
MEM,"Thursday, December 2, 2021",6:10 AM,FX1500,Memphis (MEM),FedEx,A306 (N743FD),Landed 6:29 AM
PIR,"Thursday, December 2, 2021",7:57 AM,,Pierre (PIR),Frontier,BE20 (N717DC),Landed 7:37 AM
ORD,"Thursday, December 2, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N696AE),Landed 9:41 AM
DTW,"Thursday, December 2, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N309PQ),Landed 9:31 AM
CMH,"Thursday, December 2, 2021",10:03 AM,,Columbus (CMH),Frontier,F2TH (N626NT),Landed 10:27 AM
BOI,"Thursday, December 2, 2021",10:44 AM,,Boise (BOI),Frontier,HDJT (N704JT),Landed 10:40 AM
ORD,"Thursday, December 2, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N468AW),Landed 10:25 AM
ATL,"Thursday, December 2, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N921AT),Landed 10:53 AM
DFW,"Thursday, December 2, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N754SK),Landed 11:35 AM
AUS,"Thursday, December 2, 2021",11:31 AM,G4812,Austin (AUS),Allegiant Air,A320 (N247NV),Landed 12:12 PM
MSP,"Thursday, December 2, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N296SY),Landed 11:30 AM
DLH,"Thursday, December 2, 2021",12:12 PM,,Duluth (DLH),Frontier,SR22 (N1923P),Landed 11:49 AM
LGA,"Thursday, December 2, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N904XJ),Landed 12:30 PM
DEN,"Thursday, December 2, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N903SW),Landed 12:42 PM
AMW,"Thursday, December 2, 2021",12:53 PM,CNS1025,Ames (AMW),Private owner,PC12 (N131AF),Landed 12:54 PM
CLT,"Thursday, December 2, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N591NN),Landed 12:54 PM
DEN,"Thursday, December 2, 2021",1:57 PM,F9470,Denver (DEN),Frontier,A20N (N365FR),Landed 1:32 PM
DEN,"Thursday, December 2, 2021",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N465WN),Landed 1:48 PM
ORD,"Thursday, December 2, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N88310),Landed 2:03 PM
PHX,"Thursday, December 2, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N772XF),Landed 2:07 PM
PSP,"Thursday, December 2, 2021",2:17 PM,G4847,Palm Springs (PSP),Allegiant Air,A320 (N257NV),Landed 1:59 PM
ORD,"Thursday, December 2, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N605KS),Landed 2:30 PM
IAH,"Thursday, December 2, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N87345),Landed 2:08 PM
DSM,"Thursday, December 2, 2021",3:02 PM,,Des Moines (DSM),Frontier,TBM8 (N852PS),Landed 3:22 PM
LAS,"Thursday, December 2, 2021",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N424WN),Landed 3:36 PM
ATL,"Thursday, December 2, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N981AT),Landed 3:51 PM
LAS,"Thursday, December 2, 2021",4:14 PM,F91958,Las Vegas (LAS),Frontier,A20N (N322FR),Landed 4:46 PM
BNA,"Thursday, December 2, 2021",4:15 PM,G4814,Nashville (BNA),Allegiant Air,A320 (N247NV),Landed 4:19 PM
DEN,"Thursday, December 2, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A319 (N845UA),Landed 3:55 PM
ORD,"Thursday, December 2, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N776SK),Landed 4:31 PM
DFW,"Thursday, December 2, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N713UW),Landed 4:26 PM
MSP,"Thursday, December 2, 2021",4:44 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N153PQ),Landed 4:22 PM
DTW,"Thursday, December 2, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ9 (N306PQ),Landed 4:23 PM
SLC,"Thursday, December 2, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N240SY),Landed 4:55 PM
PGD,"Thursday, December 2, 2021",5:22 PM,G41707,Punta Gorda (PGD),Allegiant Air,A320 (N233NV),Landed 5:37 PM
DCA,"Thursday, December 2, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N563NN),Landed 5:48 PM
DFW,"Thursday, December 2, 2021",6:51 PM,AA3031,Dallas (DFW),Delta Connection,CRJ7 (N611SK),Landed 6:31 PM
MEM,"Thursday, December 2, 2021",6:58 PM,FX718,Memphis (MEM),FedEx,A306 (N658FE),Landed 6:37 PM
ATL,"Thursday, December 2, 2021",7:14 PM,DL5334,Atlanta (ATL),Delta Connection,CRJ9 (N307PQ),Landed 6:47 PM
SDF,"Thursday, December 2, 2021",7:48 PM,5X9654,Louisville (SDF),UPS,B763 (N326UP),Landed 7:33 PM
DEN,"Thursday, December 2, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N457UA),Landed 8:44 PM
LGA,"Thursday, December 2, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N904XJ),Landed 8:01 PM
LAS,"Thursday, December 2, 2021",8:39 PM,G4807,Las Vegas (LAS),Allegiant Air,A320 (N284NV),Landed 8:22 PM
MSP,"Thursday, December 2, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N317CA),Landed 8:36 PM
ORD,"Thursday, December 2, 2021",9:18 PM,UA1945,Chicago (ORD),United Airlines,B739 (N37462),Landed 9:15 PM
SRQ,"Thursday, December 2, 2021",9:35 PM,G4864,Sarasota (SRQ),Allegiant Air,A320 (N257NV),Landed 9:05 PM
PUW,"Thursday, December 2, 2021",9:41 PM,FRG9128,Pullman (PUW),Freight Runners Express,E120 (N128HL),Landed 9:37 PM
DTW,"Thursday, December 2, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N331CA),Landed 9:32 PM
DCA,"Thursday, December 2, 2021",9:51 PM,AA4770,Washington (DCA),American Eagle,E75S (N135HQ),Landed 10:00 PM
STL,"Thursday, December 2, 2021",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8657B),Landed 9:46 PM
ORD,"Thursday, December 2, 2021",10:08 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N774SK),Landed 9:36 PM
IAH,"Thursday, December 2, 2021",10:22 PM,UA6125,Houston (IAH),United Express,E75L (N85379),Landed 10:01 PM
ATL,"Thursday, December 2, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N896AT),Landed 10:14 PM
MIA,"Thursday, December 2, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N288NN),Landed 11:02 PM
DFW,"Thursday, December 2, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N762US),Landed 10:59 PM
SFB,"Thursday, December 2, 2021",11:32 PM,G4838,Orlando (SFB),Allegiant Air,A320 (N262NV),Landed 11:27 PM
PHX,"Thursday, December 2, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N667AW),Landed 11:29 PM
CLT,"Thursday, December 2, 2021",11:57 PM,AA825,Charlotte (CLT),American Airlines,A319 (N725UW),Landed 11:52 PM
AFW,"Friday, December 3, 2021",2:01 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 1:51 AM
MEM,"Friday, December 3, 2021",6:00 AM,FX1500,Memphis (MEM),FedEx,A306 (N664FE),Landed 6:06 AM
CID,"Friday, December 3, 2021",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N367UP),Landed 6:40 AM
AMW,"Friday, December 3, 2021",6:36 AM,,Ames (AMW),Frontier,PA31 (N450KC),Landed 6:57 AM
GRR,"Friday, December 3, 2021",7:42 AM,FX3098,Grand Rapids (GRR),FedEx,B752 (N962FD),Landed 7:41 AM
MSP,"Friday, December 3, 2021",8:54 AM,SY8664,Minneapolis (MSP),Sun Country Airlines,B738 (N824SY),Landed 8:54 AM
ORD,"Friday, December 3, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N694AE),Landed 11:06 AM
DTW,"Friday, December 3, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N337PQ),Landed 9:43 AM
RKH,"Friday, December 3, 2021",9:52 AM,,Rock Hill (RKH),Frontier,BE20 (N513LH),Delayed 1:32 PM
MCO,"Friday, December 3, 2021",10:36 AM,F91067,Orlando (MCO),Frontier,A20N (N367FR),Landed 10:28 AM
ORD,"Friday, December 3, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N434AW),Landed 10:25 AM
ATL,"Friday, December 3, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N893AT),Landed 10:51 AM
DFW,"Friday, December 3, 2021",11:31 AM,AA3181,Dallas (DFW),Delta Connection,CRJ7 (N613SK),Landed 11:19 AM
MSP,"Friday, December 3, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N277SY),Landed 11:34 AM
LGA,"Friday, December 3, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N926XJ),Landed 12:56 PM
DEN,"Friday, December 3, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N809CA),Landed 12:43 PM
CLT,"Friday, December 3, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N551NN),Landed 12:49 PM
ALO,"Friday, December 3, 2021",1:11 PM,,Waterloo (ALO),Frontier,PA31 (N450KC),Landed 1:07 PM
CLT,"Friday, December 3, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N551NN),Landed 12:49 PM
ALO,"Friday, December 3, 2021",1:11 PM,,Waterloo (ALO),Frontier,PA31 (N450KC),Landed 1:07 PM
DEN,"Friday, December 3, 2021",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N7727A),Landed 1:58 PM
ORD,"Friday, December 3, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N85323),Landed 2:05 PM
PHX,"Friday, December 3, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N836AW),Landed 2:15 PM
LAS,"Friday, December 3, 2021",2:15 PM,G4843,Las Vegas (LAS),Allegiant Air,A320 (N262NV),Landed 2:07 PM
ICT,"Friday, December 3, 2021",2:16 PM,,Wichita (ICT),Frontier,COL3 (N24PY),Landed 2:44 PM
ORD,"Friday, December 3, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N678AE),Landed 1:56 PM
OMA,"Friday, December 3, 2021",2:32 PM,FTH957,Omaha (OMA),Private owner,C750 (N957TX),Landed 2:28 PM
IAH,"Friday, December 3, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N86347),Landed 2:15 PM
LAX,"Friday, December 3, 2021",2:40 PM,G4832,Los Angeles (LAX),Allegiant Air,A320 (N284NV),Landed 2:25 PM
PIE,"Friday, December 3, 2021",3:06 PM,G4868,St. Petersburg (PIE),Allegiant Air,A320 (N257NV),Landed 3:07 PM
LAS,"Friday, December 3, 2021",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N7852A),Landed 4:21 PM
ATL,"Friday, December 3, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N921AT),Landed 4:01 PM
DEN,"Friday, December 3, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A319 (N829UA),Landed 3:57 PM
IOW,"Friday, December 3, 2021",4:21 PM,,Iowa City (IOW),Frontier,P46T (N262ST),Landed 4:46 PM
ORD,"Friday, December 3, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N756SK),Landed 4:42 PM
DFW,"Friday, December 3, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N703UW),Landed 4:18 PM
MSP,"Friday, December 3, 2021",4:44 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N932XJ),Landed 4:30 PM
DTW,"Friday, December 3, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ9 (N908XJ),Landed 4:26 PM
SLC,"Friday, December 3, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N294SY),Landed 4:51 PM
DCA,"Friday, December 3, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N567NN),Landed 5:57 PM
MEM,"Friday, December 3, 2021",6:14 PM,FX718,Memphis (MEM),FedEx,B752 (N987FD),Landed 6:02 PM
IND,"Friday, December 3, 2021",6:47 PM,FX3730,Indianapolis (IND),FedEx,A306 (N744FD),Landed 6:18 PM
DFW,"Friday, December 3, 2021",6:51 PM,AA3031,Dallas (DFW),American Eagle,CRJ7 (N709SK),Landed 6:35 PM
ATL,"Friday, December 3, 2021",7:23 PM,DL5334,Atlanta (ATL),Delta Connection,CRJ9 (N330PQ),Landed 7:31 PM
SDF,"Friday, December 3, 2021",7:48 PM,5X9654,Louisville (SDF),UPS,B763 (N309UP),Landed 7:26 PM
BNA,"Friday, December 3, 2021",8:00 PM,P8669,Nashville (BNA),Sierra West Airlines,LJ55 (N655TR),Landed 8:23 PM
DEN,"Friday, December 3, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N468UA),Landed 8:13 PM
LGA,"Friday, December 3, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N912XJ),Landed 8:23 PM
MSP,"Friday, December 3, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N655CA),Landed 8:26 PM
AZA,"Friday, December 3, 2021",9:32 PM,G4808,Phoenix (AZA),Allegiant Air,A320 (N262NV),Landed 10:24 PM
ORD,"Friday, December 3, 2021",9:38 PM,UA1945,Chicago (ORD),United Airlines,B739 (N69818),Landed 9:38 PM
DCA,"Friday, December 3, 2021",9:49 PM,AA5632,Washington (DCA),American Eagle,CRJ9 (N586NN),Landed 9:31 PM
DTW,"Friday, December 3, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N376CA),Landed 9:34 PM
STL,"Friday, December 3, 2021",10:05 PM,WN3250,St. Louis (STL),Southwest Airlines,B738 (N8609A),Landed 9:44 PM
ORD,"Friday, December 3, 2021",10:08 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N760EV),Landed 9:57 PM
IAH,"Friday, December 3, 2021",10:22 PM,UA6125,Houston (IAH),United Airlines,E75L (N82366),Landed 12:22 AM
ATL,"Friday, December 3, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N971AT),Landed 10:05 PM
MIA,"Friday, December 3, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N255NN),Landed 10:40 PM
FLL,"Friday, December 3, 2021",11:00 PM,G4813,Fort Lauderdale (FLL),Allegiant Air,A320 (N257NV),Landed 10:39 PM
DFW,"Friday, December 3, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N749US),Landed 10:47 PM
PHX,"Friday, December 3, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N667AW),Landed 12:16 AM
CLT,"Friday, December 3, 2021",11:57 PM,AA825,Charlotte (CLT),American Airlines,A319 (N764US),Landed 11:30 PM
AFW,"Saturday, December 4, 2021",1:56 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N929AZ),Landed 1:57 AM
MEM,"Saturday, December 4, 2021",5:59 AM,FX1500,Memphis (MEM),FedEx,B752 (N948FD),Landed 6:23 AM
CID,"Saturday, December 4, 2021",6:49 AM,FRG1530,Cedar Rapids (CID),Freight Runners Express,BE99 (N899CZ),Landed 6:38 AM
SUX,"Saturday, December 4, 2021",8:50 AM,,Sioux City (SUX),Frontier,SR22 (N268CD),Landed 8:43 AM
ORD,"Saturday, December 4, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N622AE),Landed 9:45 AM
DTW,"Saturday, December 4, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N296PQ),Landed 9:29 AM
MCO,"Saturday, December 4, 2021",9:48 AM,F91067,Orlando (MCO),Frontier,A20N (N337FR),Landed 9:20 AM
ORD,"Saturday, December 4, 2021",10:44 AM,UA4442,Chicago (ORD),United Express,CRJ7 (N539GJ),Landed 10:15 AM
ATL,"Saturday, December 4, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N974AT),Landed 10:39 AM
UES,"Saturday, December 4, 2021",11:05 AM,,Waukesha (UES),Frontier,TBM9 (N301MA),Landed 11:13 AM
STL,"Saturday, December 4, 2021",11:30 AM,WN4547,St. Louis (STL),Southwest Airlines,B737 (N7888A),Landed 11:34 AM
DFW,"Saturday, December 4, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N763SK),Landed 11:16 AM
DCA,"Saturday, December 4, 2021",11:48 AM,AA5278,Washington (DCA),American Eagle,CRJ7 (N535EA),Landed 11:36 AM
MSP,"Saturday, December 4, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N259SY),Landed 11:47 AM
DSM,"Saturday, December 4, 2021",12:48 PM,,Des Moines (DSM),Frontier,HDJT (N677JT),Landed 1:47 PM
DEN,"Saturday, December 4, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N905SW),Landed 12:30 PM
CLT,"Saturday, December 4, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N579NN),Landed 1:30 PM
DEN,"Saturday, December 4, 2021",1:15 PM,WN10,Denver (DEN),Southwest Airlines,B737 (N926WN),Landed 1:24 PM
ORD,"Saturday, December 4, 2021",2:10 PM,UA6100,Chicago (ORD),United Express,E75L (N85355),Landed 1:59 PM
PHX,"Saturday, December 4, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N772XF),Landed 2:39 PM
ORD,"Saturday, December 4, 2021",2:23 PM,AA3193,Chicago (ORD),American Eagle,CRJ7 (N719EV),Landed 1:51 PM
IAH,"Saturday, December 4, 2021",2:33 PM,UA6202,Houston (IAH),United Express,E75L (N88332),Landed 2:20 PM
ATL,"Saturday, December 4, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N608AT),Landed 5:32 PM
DEN,"Saturday, December 4, 2021",4:14 PM,UA593,Denver (DEN),United Airlines,A320 (N453UA),Landed 4:11 PM
ORD,"Saturday, December 4, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N872DC),Landed 4:41 PM
DFW,"Saturday, December 4, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N769US),Landed 4:21 PM
SLC,"Saturday, December 4, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N251SY),Landed 4:43 PM
SCF,"Saturday, December 4, 2021",6:03 PM,,Scottsdale (SCF),Frontier,C55B (N550SK),Landed 5:22 PM
LAS,"Saturday, December 4, 2021",9:10 PM,WN1397,Las Vegas (LAS),Southwest Airlines,B738 (N8676A),Landed 9:16 PM
ORD,"Saturday, December 4, 2021",9:18 PM,UA1960,Chicago (ORD),United Airlines,B739 (N68834),Landed 9:02 PM
DCA,"Saturday, December 4, 2021",9:34 PM,AA5632,Washington (DCA),American Eagle,CRJ7 (N533AE),Landed 9:13 PM
DTW,"Saturday, December 4, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N398CA),Landed 9:38 PM
CLT,"Saturday, December 4, 2021",10:11 PM,AA1629,Charlotte (CLT),American Airlines,A319 (N711UW),Landed 9:50 PM
IAH,"Saturday, December 4, 2021",10:22 PM,UA6015,Houston (IAH),United Express,E75L (N85376),Landed 10:14 PM
ATL,"Saturday, December 4, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N932AT),Landed 10:16 PM
MSP,"Saturday, December 4, 2021",10:36 PM,DL5262,Minneapolis (MSP),Delta Connection,CRJ9 (N297PQ),Landed 11:04 PM
MIA,"Saturday, December 4, 2021",10:46 PM,AA3558,Miami (MIA),American Eagle,E75L (N302RN),Landed 10:32 PM
DFW,"Saturday, December 4, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N744P),Landed 10:48 PM
PHX,"Saturday, December 4, 2021",11:52 PM,AA568,Phoenix (PHX),American Airlines,A320 (N667AW),Landed 11:37 PM
IND,"Sunday, December 5, 2021",12:31 AM,,Indianapolis (IND),Frontier,PC12 (N782JC),Landed 12:44 AM
AFW,"Sunday, December 5, 2021",1:57 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N929AZ),Landed 1:55 AM
ORD,"Sunday, December 5, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N685AE),Landed 9:29 AM
DTW,"Sunday, December 5, 2021",9:37 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N329PQ),Landed 9:35 AM
ORD,"Sunday, December 5, 2021",10:45 AM,UA3999,Chicago (ORD),United Express,CRJ2 (N465AW),Landed 10:37 AM
ATL,"Sunday, December 5, 2021",11:03 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N990AT),Landed 10:43 AM
DFW,"Sunday, December 5, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N718EV),Landed 11:23 AM
AUS,"Sunday, December 5, 2021",11:31 AM,G4812,Austin (AUS),Allegiant Air,A320 (N284NV),Landed 11:23 AM
LAS,"Sunday, December 5, 2021",11:33 AM,F91958,Las Vegas (LAS),Frontier,A20N (N387FR),Landed 11:17 AM
MSP,"Sunday, December 5, 2021",11:55 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N308SY),Landed 12:46 PM
IND,"Sunday, December 5, 2021",12:07 PM,FTH907,Indianapolis (IND),Private owner,C750 (N907TX),Landed 12:28 PM
IOW,"Sunday, December 5, 2021",12:09 PM,,Iowa City (IOW),Frontier,C425 (N425DD),Landed 12:12 PM
IND,"Sunday, December 5, 2021",12:21 PM,,Indianapolis (IND),Frontier,PA46 (N9253C),Landed 1:03 PM
LGA,"Sunday, December 5, 2021",12:38 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N479PX),Landed 12:17 PM
DEN,"Sunday, December 5, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N453SW),Landed 12:43 PM
CLT,"Sunday, December 5, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N551NN),Landed 12:51 PM
DEN,"Sunday, December 5, 2021",1:25 PM,WN1182,Denver (DEN),Southwest Airlines,B737 (N7840A),Landed 1:11 PM
ORD,"Sunday, December 5, 2021",2:10 PM,UA6100,Chicago (ORD),United Express,E75L (N86344),Landed 2:15 PM
PHX,"Sunday, December 5, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N765US),Landed 3:10 PM
PSP,"Sunday, December 5, 2021",2:17 PM,G4847,Palm Springs (PSP),Allegiant Air,A320 (N257NV),Landed 1:52 PM
ORD,"Sunday, December 5, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N678AE),Landed 2:11 PM
IAH,"Sunday, December 5, 2021",2:33 PM,UA6202,Houston (IAH),United Express,E75L (N87337),Landed 2:05 PM
BNA,"Sunday, December 5, 2021",3:55 PM,,Nashville (BNA),Frontier,P180 (N290BC),Landed 3:50 PM
ATL,"Sunday, December 5, 2021",3:59 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N946AT),Landed 3:30 PM
SDF,"Sunday, December 5, 2021",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N309UP),Landed 4:08 PM
BNA,"Sunday, December 5, 2021",4:15 PM,G4814,Nashville (BNA),Allegiant Air,A320 (N284NV),Landed 3:57 PM
DEN,"Sunday, December 5, 2021",4:15 PM,UA593,Denver (DEN),United Airlines,A320 (N414UA),Landed 4:39 PM
LAS,"Sunday, December 5, 2021",4:30 PM,WN4936,Las Vegas (LAS),Southwest Airlines,B738 (N8668A),Landed 4:31 PM
ORD,"Sunday, December 5, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N742SK),Landed 4:43 PM
DFW,"Sunday, December 5, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N776XF),Landed 4:28 PM
MSP,"Sunday, December 5, 2021",4:44 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N232PQ),Landed 4:34 PM
